name,area,description,detail,image_url,image_urls,lat,lon,tags,is_indoor,weather_ok,price,opening_hours,,weather_sutability,highlights
大須商店街,osu,食べ歩きから古着、サブカルまで楽しめる、名古屋を代表するにぎやかな商店街。,大須商店街は、名古屋市中区に広がる日本有数の大型商店街で、飲食店、古着屋、雑貨店、電気街、サブカル系ショップなどが密集する個性豊かなエリア。昔ながらの老舗とトレンド感のある新しい店が混在していて、歩くだけでも楽しいのが魅力だよ。食べ歩きグルメも充実しており、友達同士やデート、ひとり散策まで幅広い楽しみ方ができるよ！,/osu/o1-1.png,"/osu/o1-1.png,/osu/o1-2.png,/osu/o1-3.png",35.15965,136.90555,friend,FALSE,FALSE,なし,11:00-20:00　※店舗による,,晴れ： 食べ歩きや街歩きを楽しみながら回りやすい｜くもり： 歩きやすく、ゆっくり散策しやすい｜雨： アーケードが多く、天候の影響を受けにくい,"食べ歩きが楽しくて遊び放題！,古着や雑貨が見つかりやすい！　・"
大須観音,osu,名古屋・大須のシンボルとして親しまれる、歴史ある由緒正しい,大須観音は、正式には「真福寺宝生院」といい、名古屋市中区にある由緒ある寺院。大須商店街の中心に位置し、観光客から地元の人まで幅広く親しまれている名古屋の代表的な名所だよ。境内は開放的で、参拝だけでなく散策や写真撮影にも向いており、商店街のにぎわいの中でほっと一息つける場所。,/osu/o2-1.png,"/osu/o2-1.png,/osu/o2-2.png",35.1591,136.90506,relax,FALSE,FALSE,なし,6:00-17:00,,晴れ： 参拝と周辺散策をあわせて楽しめる｜くもり： 落ち着いた雰囲気で静かに参拝しやすい｜雨： 屋外中心のため参拝はやや不向き,"大須らしい雰囲気を感じられる！,静かに気分転換しやすい！　"
OSU301ビル,osu,大須商店街の中心にある、サブカル・ファッション系ショップが集まる個性派ビル。,OSU301ビルは、大須商店街の中でも特に若者文化やサブカルチャー色の強いショップが集まる商業ビル。古着屋、アクセサリーショップ、アイドル・サブカル系店舗などが入っており、大須らしいディープな雰囲気を楽しめるスポットだよ。ビル自体はコンパクトだけど、フロアごとに個性的なお店が並んでいて、見て回るだけでも楽しい。,/osu/o3-1.png,"/osu/o3-1.png,/osu/o3-2.png",35.15943,136.9059,bias,TRUE,TRUE,なし,9:00-23:00　※店舗による,,晴れ： 商店街巡りの途中で立ち寄りやすい｜くもり： 天候を気にせずショップ巡りができる｜雨： 屋内施設のため雨の日でも安心して利用できる,"推し活目的で行きやすい！,店内が充実していて見応えあり！　"
大須アメ横ビル,osu,大須商店街にある、ファッション・雑貨・サブカル系ショップが集まる複合ビル。,大須アメ横ビルは、大須商店街の中心エリアに位置する商業ビルで、若者向けのファッション、雑貨、アクセサリー、サブカル系ショップなどが集まるスポット。フロアごとに個性的なお店が並び、大須らしいにぎやかでディープな雰囲気を楽しめるよ。食べ歩きエリアや大須観音からも近く、商店街散策の途中に立ち寄りやすい立地も魅力。,/osu/o4-1.png,"/osu/o4-1.png,/osu/o4-2.png",35.1597,136.9058,after_school,TRUE,TRUE,なし,10:00-20:00　※店舗による,,晴れ： 大須散策の流れで気軽に立ち寄れる｜くもり： 落ち着いて買い物や探索を楽しめる｜雨： 屋内中心で天候を気にせず利用できる,"掘り出し物探しが楽しい！,放課後の寄り道にある！"
大須スケートリンク,osu,大須商店街近くで気軽にアイススケートが楽しめる屋内スケートリンク,大須スケートリンクは、大須エリアにある屋内型のアイススケート施設で、初心者から経験者まで幅広く利用できるスポット。天候に左右されない屋内リンクのため、暑い夏や雨の日でも快適にスケートを楽しめるのが魅力だよ。レンタルシューズも用意されていて、手ぶらで立ち寄れるのも嬉しいポイント。友達同士やデートはもちろん、ちょっと体を動かしたいときにもぴったり。,/osu/o5-1.png,"/osu/o5-1.png,/osu/o5-2.png",35.15863,136.9043,active,TRUE,TRUE,大人1500円 学生(大学・高・中)1300円 子ども(小学生以下)900円 貸靴500円 入場のみ300円,平日:12:00-18:00 土日祝日:10:00-18:00,,晴れ： 外出ついでにアクティブに楽しめる｜くもり： 天候を気にせず予定に組み込みやすい｜雨： 屋内施設のため雨の日でも快適に利用できる,"大須で体を動かせるのが新鮮！,雨の日でも楽しめる！　"
万松寺,osu,大須商店街の中心にある、織田信長ゆかりの歴史あるお寺。,万松寺は、名古屋市中区・大須商店街の中心に位置する寺院で、戦国武将・織田信長の父、織田信秀の菩提寺として知られているよ。境内には織田信長公の像もあり、歴史ファンはもちろん、商店街を訪れる多くの人が立ち寄るスポット。伝統的なお寺でありながら、現代的な要素も取り入れた開かれた雰囲気が特徴で、商店街のにぎわいの中にありつつ、ふっと落ち着ける空間になっている。,/osu/o6-1.png,"/osu/o6-1.png,/osu/o6-2.png",35.15932,136.90538,photo,FALSE,FALSE,無料,9:00-20:00,,晴れ： 参拝と写真撮影を楽しみながら立ち寄れる｜くもり： 人が少なめで落ち着いて参拝しやすい｜雨： 屋外中心のため天候が悪い日はやや不向き,"大須の街の中で和の雰囲気が楽しめる！,ふらっと立ち寄りやすい　"
赤門通り,osu,大須観音から東へ伸びる、飲食店や個性派ショップが並ぶにぎやかな通り。,赤門通りは、大須観音の赤い山門から東方向へ続く通りで、大須商店街の中でも特に人通りが多く、活気のあるエリア。通り沿いには食べ歩きグルメ、カフェ、古着屋、雑貨店などが立ち並び、歩くだけでも楽しい雰囲気が広がっているよ。大須観音や万松寺、アメ横ビルなど主要スポットへのアクセスも良く、大須散策のメインルートとして使いやすいのが魅力。,/osu/o7-1.png,"/osu/o7-1.png,/osu/o7-2.png",35.15918,136.90595,after_school,FALSE,FALSE,なし,10:00-18:00　※店舗による,,晴れ： 商店街らしい雰囲気を感じながら散策できる｜くもり： 歩きやすく街歩きにちょうどいい｜雨： 屋外のため天候が悪い日は利用しづらい,"お店の個性が強くて見ていて楽しい！,放課後の寄り道にちょうどいい！"
仁王門通,osu,大須観音へと続く、商店や飲食店が並ぶ落ち着いた雰囲気の通り。,仁王門通は、大須商店街の中でも大須観音の仁王門へとつながる歴史ある通り。赤門通りに比べてやや落ち着いた雰囲気で、昔ながらの店舗とカフェ、飲食店がバランスよく並んでいるのが特徴だよ。観光でにぎわうエリアにありながらも、ゆっくり歩いて街の空気を楽しめるため、ひとり散策や写真を撮りながらの街歩きにも向いている。,/osu/o8-1.png,"/osu/o8-1.png,/osu/o8-2.png",35.15906,136.90523,food,FALSE,FALSE,なし,10:00-22:00　※店舗による,,晴れ： 大須観音周辺の散策ルートとして使いやすい｜くもり： ゆったり歩けて写真も撮りやすい｜雨： 屋外中心のため雨天時はやや不向き,"食べ歩きがしやすい通り！,話題のお店を見つけやすい！　"
大須演芸場,osu,落語や漫才を気軽に楽しめる、大須の下町情緒あふれる演芸場。,大須演芸場は、名古屋市中区・大須にある寄席形式の演芸場で、落語・漫才・講談などの話芸を間近で楽しめるスポット。舞台と客席の距離が近く、演者の息づかいや臨場感を感じられるのが魅力だよ。観光の合間にも立ち寄りやすい立地で、大須商店街のにぎわいとは対照的に、館内ではじっくりと“笑い”に浸れる時間が流れる。,/osu/o9-1.png,"/osu/o9-1.png,/osu/o9-2.png",35.15885,136.90577,slow,TRUE,TRUE,一般:2900円　シニア(65歳以上):2700円　学生(小〜大学生):1900円　障がい者:2600円,11:00-17:00,,晴れ： 観光や散策の流れで立ち寄りやすい｜くもり： 落ち着いて公演を楽しめる｜雨： 屋内施設のため天候を気にせず鑑賞できる,"座ってゆったり楽しめる！,大須の違う一面を味わえる！　"
大須公園,osu,大須商店街の近くで、散策や休憩に使いやすい小さな街中公園。,大須公園は、大須観音や商店街からほど近い場所にある、地域に親しまれている公園。ベンチや緑が整備されていて、買い物や食べ歩きの合間に少し休憩したいときに立ち寄りやすいスポットだよ。規模は大きくないものの、人通りの多い大須エリアの中でほっと一息つける存在。,/osu/o10-1.png,"/osu/o10-1.png,/osu/o10-2.png",35.15874,136.90501,relax,FALSE,FALSE,無料,常時開放,,晴れ： 休憩や軽い散策にちょうどいい｜くもり： 涼しく過ごしやすく一息つきやすい｜雨： 屋外のため雨天時は利用は不向き,"ひと休みできる場所がある,街歩きの合間に使いやすい"
Cafe Villa,osu,大須エリアにある、韓国っぽい雰囲気を楽しめる落ち着いたカフェ。,韓国カフェで、シンプルでおしゃれな内装と落ち着いた雰囲気が魅力のお店。白を基調とした空間やさりげないインテリアが特徴で、写真映えもしつつ、ゆっくり過ごせる居心地の良さがあるよ。にぎやかな大須商店街から少し離れているため、散策の合間に落ち着きたいときや、ひとりで静かに過ごしたいときにも使いやすいよ！,/osu/o11-1.png,"/osu/o11-1.png,/osu/o11-2.png",35.1594,136.9056,cafe,TRUE,TRUE,1000円〜2000円,11:00-19:00/土11:00-21:00/水定休日,,晴れ： 大須散策の合間のカフェ休憩に使いやすい｜くもり： 落ち着いてゆっくり過ごしやすい｜雨： 屋内のため天気を気にせず利用できる,"大須で韓国っぽい雰囲気を楽しめるおしゃれカフェ,人通りが少なめで、落ち着いて過ごしやすい"
