name,area,description,detail,image_url,image_urls,lat,lon,tags,is_indoor,weather_ok,price,opening_hours,weather_sutability,highlights
オアシス21,sakae,近未来的なデザインが象徴的な、栄を代表するランドマーク,オアシス21は、ガラス張りの屋上「水の宇宙船」が特徴的な名古屋・栄のランドマーク。昼間は空や街並みが反射する開放的な景色を楽しめ、夜にはライトアップされ幻想的な雰囲気に変わるよ。地下にはショップや飲食店が集まり、待ち合わせや観光、デートなどさまざまなシーンで利用しやすいスポット。周辺には文化施設も多く、栄エリア散策の中心的存在となってるよ。,/sakae/s1-1.png,"/sakae/s1-1.png,/sakae/s1-2.png",35.172,136.9084,photo,FALSE,FALSE,無料,11:00-21:00,晴れ： 屋上を散策しながら景色や写真を楽しめる｜くもり： 日差しが弱く歩きやすく、ゆったり回れる｜雨： 屋外部分は不向きだが地下施設は利用しやすい,"屋上の景色が開放感抜群！,夜景がとてもきれい"
中部電力 MIRAI TOWER（旧名古屋テレビ塔）,sakae,名古屋の街を見守り続ける、栄のシンボルタワー。,中部電力 MIRAI TOWERは、旧名古屋テレビ塔として親しまれてきた歴史あるタワーで、現在は展望施設やホテル、ショップを備えた複合スポット。展望フロアからは名古屋の街並みを一望でき、昼と夜で異なる景色を楽しめる。久屋大通公園に隣接しており、散策やイベントと組み合わせて訪れやすいのも魅力。,/sakae/s2-1.png,"/sakae/s2-1.png,/sakae/s2-2.png,/sakae/s2-3.png,",35.1723,136.9086,date,TRUE,TRUE,大人:900円　子ども:500円,10:00-22:00,晴れ： 展望台からの景色を存分に楽しめる｜くもり： 人が少なめで落ち着いて見学しやすい｜雨： 屋内展望エリアは天候を気にせず利用できる,"360度の景色で非日常体験！,夜景デートにぴったり！"
ナディアパーク,sakae,デザイン・文化・ショッピングが融合した栄の複合施設。,ナディアパークは、商業施設・オフィス・文化施設が集まる複合ビルで、若者文化やデザイン発信の拠点として知られているよ。ショッピングやカフェ利用はもちろん、アートやイベントに触れられるのも特徴。栄の中心部にありながら少し落ち着いた雰囲気で、街歩きの途中に立ち寄りやすいよ。,/sakae/s3-1.png,"/sakae/s3-1.png,/sakae/s3-2.png",35.1646,136.9069,after_school,TRUE,TRUE,なし,10:00-21:00,晴れ： 街歩きの途中で立ち寄りやすい｜くもり： 天候を気にせずゆっくり回りやすい｜雨： 屋内施設のため雨の日でも快適に利用できる,"若者向けの個性的なお店が多い！,友達と立ち寄りやすい！　"
サンシャイン栄,sakae,観覧車が目印の、遊び心あふれるエンタメスポット,サンシャイン栄は、ビル屋上に設置された観覧車「スカイボート」が象徴的な複合施設。ショッピングや飲食、エンターテインメントが集まり、友達同士やデートでも楽しめるよ。夜には観覧車がライトアップされ、写真映えスポットとしても人気が高い。,/sakae/s4-1.png,"/sakae/s4-1.png,/sakae/s4-2.png",35.1693,136.9076,after_school,TRUE,TRUE,観覧車:700円,10:00-22:00,晴れ： 観覧車と街歩きをあわせて楽しめる｜くもり： 人混みを避けて回りやすい｜雨： 屋内施設中心で天候の影響を受けにくい,観覧車から栄の景色を一望できる！屋内ショップも充実している！　
でんきの科学館,sakae,電気やエネルギーを楽しく学べる体験型ミュージアム。,でんきの科学館は、電気の仕組みやエネルギーについて体験しながら学べる施設で、子どもから大人まで楽しめる内容が揃っているよ。展示はわかりやすく、科学が身近に感じられる構成になっていて、知的好奇心を刺激される！栄エリアに位置しているから、観光や街歩きの途中に組み込みやすいよ。,/sakae/s5-1.png,"/sakae/s5-1.png,/sakae/s5-2.png",35.1701,136.9045,alone,TRUE,TRUE,大人:300円　小中学生:100円,9:30-16:30,晴れ： 外出ついでに知的な立ち寄りスポットとして使いやすい｜くもり： 落ち着いて展示を見学しやすい｜雨： 屋内施設のため雨の日に特に向いている,"実験や展示で楽しく学べる！,一人でも集中して回れる！"
ラシック,sakae,ファッションとグルメが充実した、大人向けショッピングビル。,ラシックは、洗練されたファッションブランドや飲食店が揃う商業施設で、落ち着いた雰囲気が特徴。流行を意識したショップ構成で、ショッピングだけでなく食事目的でも利用しやすいよ。栄の中心にありながら、ゆったり過ごせる点が魅力だよ。,/sakae/s6-1.png,"/sakae/s6-1.png,/sakae/s6-2.png",35.1686,136.907,shopping,TRUE,TRUE,なし,11:00-22:00,晴れ： ショッピングや食事を気持ちよく楽しめる｜くもり： 混雑が落ち着き、回遊しやすい｜雨： 屋内のため天候を気にせず利用できる,"まとまったフロア構成で見やすい！,落ち着いた雰囲気で回りやすい！　"
中日ビル,sakae,栄の新たな拠点として生まれ変わった大型複合ビル。,中日ビルは、再開発によって新しくなった栄のランドマーク的存在。オフィスや商業施設、飲食店が集まり、日常利用からビジネス、観光まで幅広く対応しているよ。周辺施設との回遊性も高くて、栄エリア全体を楽しむ拠点として便利だよ。,/sakae/s7-1.png,"/sakae/s7-1.png,/sakae/s7-2.png",35.1706,136.9079,alone,TRUE,TRUE,なし,10:00-23:00,晴れ： 周辺散策とあわせて立ち寄りやすい｜くもり： 落ち着いた雰囲気で利用しやすい｜雨： 屋内中心のため雨の日でも安心して利用できる,"新しくてきれいな空間！,一人でも入りやすい！　"
栄地下街 サカエチカ,sakae,天候を気にせず移動と買い物ができる地下街。,サカエチカは、栄駅周辺に広がる地下街で、飲食店やショップが集まっているの。雨の日や暑い日でも快適に移動でき、待ち合わせや通過動線としても使いやすいよ。地上の栄エリアと組み合わせることで、効率よく街歩きを楽しめるよ。,/sakae/s8-1.png,"/sakae/s8-1.png,/sakae/s8-2.png",35.1698,136.9072,shopping,TRUE,TRUE,なし,10:00-20:00,晴れ： 移動や買い物の補助動線として便利｜くもり： 快適に歩きやすい｜雨： 地下街のため雨の日でも濡れずに移動できる,"雨の日でも快適に歩ける！,食事や休憩に使いやすい！"
愛知芸術文化センター,sakae,芸術と文化を身近に感じられる名古屋屈指の文化施設,愛知芸術文化センターは、美術館や劇場を併設した文化複合施設で、展覧会や舞台公演など多彩な芸術体験ができるよ。オアシス21にも隣接しており、観光やデート、学びの場としても利用しやすい。栄エリアで文化的な時間を過ごしたい人におすすめだよ。,/sakae/s9-1.png,"/sakae/s9-1.png,/sakae/s9-2.png,/sakae/s9-3.png,",35.1714,136.9075,alone,TRUE,TRUE,無料,9:00-22:00,晴れ： 周辺散策と組み合わせて文化体験を楽しめる｜くもり： 落ち着いて展示や公演を楽しみやすい｜雨： 屋内施設のため天候を気にせず利用できる,"落ち着いた空気感が心地いい！,知的な気分になれる！　"
愛知県図書館,sakae,名古屋・栄エリアにある県立図書館。静かな環境で読書や調べものに集中しやすい、落ち着いた公共施設。,愛知県図書館は、栄と伏見の間に位置する大規模な県立図書館。専門書から一般書まで幅広い資料がそろっており、学生から社会人まで利用しやすい。館内は静かで席数も多く、勉強や調べもの、一人で過ごす時間に向いているよ。,/sakae/s10-1.png,"/sakae/s10-1.png,/sakae/s1--2.png,/sakae/s10-3.png,",35.1703,136.8996,study,TRUE,TRUE,無料,10:00-18:00/火金10:00-20:00/月定休日,晴れ：外のにぎわいから少し離れて、静かな館内で自分の時間を整えられる|くもり：落ち着いた雰囲気の中で、読書や調べものに集中しやすい|雨：屋内完結型で天候の影響を受けにくく、雨音を感じながらゆっくり過ごせる,"静かで集中しやすい,栄エリアでアクセス良好"
